Measurement Name :,Meas-641,,Generated On :,"11/05/2023, 12:23:24",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0007000641      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 045

Ref LED current   : 095

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
07.03.23 01:38:04,1.8,171.22,218.96,235.82,200.85,191.8,244.39,206.07,211.33,181.28,200.53,138.87,239.92,146.37,211.99,137.67,190.52,212.98,171.85,141.86,206.07,176.55,187.96,218.96,193.09,,23,979,39,25.46,
07.03.23 01:38:19,2.05,170.6,218.63,236.16,200.2,190.52,244.74,205.75,210.67,180.96,200.53,137.67,239.92,146.07,211.66,136.78,189.88,213.31,171.85,140.66,205.42,176.55,186.68,217.96,192.45,,23,979,39,25.47,
07.03.23 01:38:34,2.3,170.29,218.63,235.48,199.88,190.52,244.39,204.76,210.01,180.02,199.55,136.78,239.58,145.16,211.33,135.89,188.6,212.32,170.6,138.87,204.76,175.92,186.04,216.3,191.48,,23,979,39,25.48,
07.03.23 01:38:49,2.55,169.04,217.96,235.13,198.58,189.24,244.05,204.11,208.7,179.07,198.25,135.89,239.58,144.26,210.67,134.4,187.32,211.99,169.04,136.78,204.76,174.66,184.77,216.3,190.52,,23,979,39,25.5,
07.03.23 01:39:04,2.8,169.04,217.96,235.48,198.25,188.92,244.74,203.78,208.04,179.38,198.58,135.59,239.24,143.96,210.34,134.11,186.36,211.99,168.42,136.48,204.44,174.35,184.77,215.3,189.56,,23,979,39,25.51,
07.03.23 01:39:19,3.05,168.73,217.63,234.79,197.28,187.96,245.08,203.13,207.71,178.44,198.25,135,239.24,143.66,210.01,132.92,185.41,211.33,167.49,135,204.11,174.04,184.45,214.31,188.28,,23,979,39,25.51,
07.03.23 01:39:35,3.32,168.11,217.29,235.13,196.96,187.96,244.39,202.8,206.73,177.81,197.28,133.51,240.95,143.36,210.01,132.62,184.77,210.67,166.55,138.57,202.8,174.66,183.18,213.31,187.64,,23,979,39,25.51,979D6-(E1);
07.03.23 01:39:50,3.57,167.49,216.63,234.79,196.64,187.32,244.74,201.83,206.4,177.18,195.67,133.22,238.55,141.86,210.01,131.44,183.5,210.01,165,132.92,202.15,174.04,182.23,212.32,187,,23,979,39,25.53,
07.03.23 01:40:05,3.82,167.17,216.96,234.79,195.02,187,245.08,201.83,205.75,176.55,195.67,132.33,239.24,142.16,209.03,130.26,182.87,209.68,164.7,131.44,202.48,174.04,181.91,211.99,185.73,,23,979,39,25.54,
07.03.23 01:40:20,4.07,166.55,216.3,233.77,195.02,185.41,244.39,200.53,205.09,175.29,195.02,130.85,238.21,141.26,208.04,129.08,182.23,208.37,163.46,130.56,202.15,173.41,180.96,210.01,184.45,,23,979,39,25.54,
07.03.23 01:40:35,4.32,165.62,215.96,233.43,194.38,185.09,244.74,200.2,204.11,174.98,193.73,130.56,238.55,140.96,207.38,128.79,180.96,208.37,162.22,129.08,201.18,172.16,180.33,210.34,183.82,,23,979,39,25.54,
07.03.23 01:40:50,4.57,165.31,215.63,234.11,193.41,184.14,245.08,199.88,203.78,174.66,193.41,129.97,238.55,140.36,207.06,127.61,180.02,207.71,161.92,128.2,200.53,172.78,179.07,208.7,183.5,,23,979,39,25.54,
07.03.23 01:41:05,4.82,165,215.63,234.11,193.73,184.45,245.43,198.9,203.46,174.04,193.09,129.08,238.55,139.76,207.06,127.61,178.75,207.38,160.99,127.61,200.53,173.1,178.75,208.7,181.91,,23,979,39,25.54,
07.03.23 01:41:20,5.07,164.08,214.97,233.09,192.45,183.5,244.74,198.25,202.15,173.72,192.12,128.79,237.52,139.16,205.75,126.44,178.12,207.06,159.76,126.14,200.2,172.16,177.18,208.04,181.6,,23,979,39,25.55,
07.03.23 01:41:35,5.32,164.39,215.3,232.75,192.45,183.18,246.12,197.93,202.15,172.47,191.48,128.2,237.52,138.27,205.75,126.14,177.49,206.07,159.15,125.56,200.53,172.47,176.55,207.38,180.33,,23,979,39,25.54,
07.03.23 01:41:50,5.57,163.77,214.97,233.43,191.8,183.18,245.77,197.93,201.5,171.85,190.52,127.32,237.87,138.87,205.09,124.97,176.86,206.4,158.53,124.39,199.88,172.78,176.55,206.73,180.02,,23,979,39,25.55,
07.03.23 01:42:05,5.82,163.77,214.97,233.09,190.84,182.55,245.43,196.96,201.18,171.53,190.2,127.02,237.87,137.97,205.09,124.97,176.55,206.07,157.92,123.8,199.55,171.85,175.92,205.75,179.38,,23,979,39,25.55,
07.03.23 01:42:21,6.08,163.15,214.64,232.41,190.84,181.28,246.47,196.64,200.53,171.22,189.24,126.44,237.87,137.08,204.44,123.22,175.61,205.42,157,122.63,198.58,171.53,174.66,205.09,178.44,,23,979,39,25.57,
07.03.23 01:42:36,6.33,161.92,214.31,232.41,189.88,179.7,246.12,195.99,199.55,170.29,188.28,125.56,237.87,137.08,203.78,123.22,175.29,204.44,156.08,121.76,198.58,171.53,174.04,204.11,178.12,,23,979,39,25.55,
07.03.23 01:42:51,6.58,161.92,214.31,232.07,189.56,180.33,245.77,195.67,199.23,169.97,188.6,125.56,237.18,136.48,203.13,122.34,174.04,204.11,155.17,120.01,197.93,170.91,172.78,203.13,177.18,,23,979,39,25.58,
07.03.23 01:43:06,6.83,161.3,213.98,232.07,188.92,178.75,245.77,194.7,198.58,169.35,186.68,124.39,237.18,135.59,202.8,121.47,173.1,203.78,154.25,119.43,197.61,171.22,172.78,202.48,176.55,,23,979,39,25.58,
07.03.23 01:43:21,7.08,161.3,213.31,231.74,188.28,178.44,245.43,194.38,198.25,168.73,187.32,123.22,236.84,135.89,202.48,120.3,173.1,203.13,153.64,118.56,197.61,170.6,171.85,202.48,175.29,,23,979,39,25.58,
07.03.23 01:43:36,7.33,160.68,213.64,231.06,188.92,178.12,246.12,194.05,197.28,168.11,186.04,124.09,236.16,135.29,201.5,120.3,171.85,202.15,152.42,117.98,197.61,170.6,171.22,201.18,175.29,,23,979,39,25.59,
07.03.23 01:43:51,7.58,160.07,212.98,231.4,187.96,177.49,246.47,193.41,196.96,167.8,185.41,123.22,236.5,135,201.18,118.85,171.22,202.48,151.82,116.82,196.96,170.29,170.6,200.85,174.04,,23,979,39,25.58,
07.03.23 01:44:06,7.83,159.76,212.32,231.06,187.32,177.18,246.12,192.77,195.99,167.17,184.77,122.05,236.84,134.4,201.18,118.56,170.29,201.5,150.6,115.66,196.31,169.35,169.97,199.55,173.72,,23,979,39,25.59,
07.03.23 01:44:21,8.08,159.76,212.65,230.72,187.32,176.23,246.12,192.45,195.67,166.24,184.14,121.76,235.13,133.81,199.88,117.69,170.29,201.5,150.3,115.66,196.96,170.6,168.11,199.55,172.47,,23,979,39,25.61,
07.03.23 01:44:36,8.33,158.84,212.32,230.72,186.36,175.61,246.47,191.8,195.34,165.93,183.18,120.89,235.82,133.51,200.53,116.82,168.73,201.18,148.78,114.51,196.31,169.66,167.17,198.58,171.85,,23,979,39,25.59,
07.03.23 01:44:51,8.58,158.53,212.32,230.72,186.36,174.98,245.77,191.16,195.02,165.31,182.55,120.89,235.13,133.22,199.55,116.82,169.04,201.18,148.78,113.64,195.34,168.73,167.49,197.61,171.53,,23,979,39,25.61,
07.03.23 01:45:06,8.83,157.92,211.33,230.04,185.09,174.35,245.77,190.84,194.7,165,182.23,120.3,235.13,132.62,198.9,115.95,168.42,199.88,147.57,112.78,195.02,169.04,166.24,197.28,170.91,,23,979,39,25.61,
07.03.23 01:45:22,9.1,157.31,211.99,230.38,185.41,173.72,247.16,190.2,194.05,164.39,180.65,120.01,234.79,132.03,198.9,115.95,167.8,200.2,146.97,112.49,195.34,169.35,166.24,195.99,170.29,,23,979,39,25.61,
07.03.23 01:45:37,9.35,157.31,211.99,230.38,185.41,172.78,246.47,189.88,193.41,164.39,181.6,119.14,235.13,132.03,198.25,115.38,167.17,200.2,146.37,111.34,195.34,169.04,165.31,196.31,169.04,,23,979,39,25.61,
07.03.23 01:45:52,9.6,157.31,211,229.03,184.14,172.78,246.12,188.92,192.45,162.84,180.65,118.56,235.13,130.85,197.93,113.93,165.62,199.23,144.86,110.19,194.38,168.73,164.39,195.02,168.73,,23,979,39,25.61,
07.03.23 01:46:07,9.85,156.7,210.67,229.7,184.14,172.16,247.16,188.92,192.77,162.84,180.02,118.27,234.79,131.15,196.64,113.64,165.93,199.23,144.56,109.91,194.7,168.42,163.15,194.05,168.42,,23,979,39,25.61,
07.03.23 01:46:22,10.1,156.39,210.34,229.36,183.5,171.53,246.12,188.6,192.12,161.61,178.12,117.69,234.45,130.26,196.31,113.36,165.31,199.55,143.66,109.33,193.41,167.8,162.53,194.05,166.86,,23,979,39,25.61,
07.03.23 01:46:37,10.35,155.78,211,229.03,183.5,170.29,246.47,187.32,191.48,161.92,178.75,117.11,233.77,130.26,195.99,112.78,164.08,198.58,143.06,108.48,193.73,167.49,162.22,193.41,166.86,,23,979,39,25.61,
07.03.23 01:46:52,10.6,155.78,210.34,228.69,182.55,170.29,246.47,187.64,191.16,161.3,177.81,117.4,235.13,129.08,195.99,112.2,163.46,198.58,142.16,108.19,194.05,167.17,161.92,192.77,165.93,,23,979,39,25.64,
07.03.23 01:47:07,10.85,155.17,210.34,228.35,182.23,170.29,246.81,186.68,190.84,160.99,177.18,116.24,233.77,129.67,195.34,110.77,163.15,197.93,141.56,106.76,193.41,167.49,160.68,191.8,165.62,,23,979,39,25.63,
07.03.23 01:47:22,11.1,154.86,210.01,228.01,182.55,169.04,245.77,186.36,189.88,160.07,177.18,115.95,234.45,128.79,194.38,110.48,162.53,198.58,140.96,106.48,192.77,167.8,159.76,190.84,165,,23,979,39,25.64,
07.03.23 01:47:37,11.35,154.25,209.36,228.01,181.6,168.73,246.12,186.36,189.88,159.45,175.92,115.95,234.45,128.2,194.38,110.19,161.92,197.93,140.66,105.62,192.77,167.8,159.45,190.2,163.77,,23,979,39,25.63,
07.03.23 01:47:53,11.62,153.95,209.68,228.01,180.65,168.42,246.47,185.73,188.6,158.84,174.98,115.66,234.11,127.61,194.05,109.91,161.61,198.25,139.46,105.05,192.77,167.17,158.84,188.92,164.08,,23,979,39,25.64,
07.03.23 01:48:08,11.87,153.64,209.36,228.01,180.96,167.8,246.47,185.09,188.6,158.84,174.66,115.09,234.11,127.32,193.73,109.91,160.38,197.93,137.97,104.48,192.12,167.17,158.23,188.28,163.15,,23,979,39,25.64,
07.03.23 01:48:23,12.12,153.03,209.03,228.01,179.7,166.86,246.81,184.77,188.28,157.92,174.35,114.8,233.77,126.73,192.77,109.05,160.38,198.58,137.67,103.34,192.12,166.24,157.31,188.28,162.84,,23,979,39,25.65,
07.03.23 01:48:38,12.37,153.03,208.7,228.01,180.65,166.86,246.47,184.45,187.64,157.92,173.72,114.22,234.11,127.02,193.09,108.76,159.45,199.23,136.78,103.34,191.48,167.17,156.7,187.32,161.61,,23,979,39,25.65,
07.03.23 01:48:54,12.63,152.12,208.37,227.34,179.38,165.93,246.47,183.5,186.68,157,172.47,113.64,233.43,126.44,191.8,107.33,158.84,198.58,135.29,102.78,191.16,165.62,155.17,186.36,161.3,,23,979,39,25.65,
07.03.23 01:49:09,12.88,152.42,208.7,227.68,179.38,165.93,247.16,183.5,187.32,157,172.47,113.07,232.75,126.73,191.16,107.33,158.84,199.23,135.89,102.21,191.8,166.55,155.78,186.36,161.3,,23,979,39,25.65,
07.03.23 01:49:24,13.13,152.12,208.04,227.34,179.07,164.7,246.47,182.87,186.36,156.39,172.16,113.07,233.09,125.85,191.16,106.48,157.61,198.58,135,101.08,191.16,166.55,154.86,186.04,160.68,,23,979,39,25.65,
07.03.23 01:49:39,13.38,151.82,208.04,227.34,178.75,165,246.81,182.87,186.36,155.78,171.22,113.07,233.43,125.56,190.84,106.48,157.61,199.55,134.4,101.08,190.84,167.17,154.25,184.77,159.76,,23,979,39,25.65,
07.03.23 01:49:54,13.63,150.91,207.38,227,177.81,164.08,246.47,182.23,185.41,155.47,171.22,112.78,232.75,124.97,190.2,105.62,156.39,199.23,133.51,100.51,191.16,165.31,153.64,183.82,159.76,,23,979,39,25.65,
07.03.23 01:50:09,13.88,150.6,208.04,226.33,177.81,163.46,246.81,181.6,185.09,154.86,169.66,112.2,233.09,124.68,189.88,105.34,157,199.88,132.33,99.66,190.84,165.62,153.34,183.5,158.84,,23,979,39,25.65,
07.03.23 01:50:25,14.15,150.91,208.04,227,178.44,163.15,246.81,181.91,185.09,153.95,169.04,111.92,233.43,124.68,190.2,105.05,155.78,200.53,132.62,98.81,191.16,166.55,152.42,182.87,157.92,,23,979,39,25.65,
07.03.23 01:50:40,14.4,150,207.71,226.33,177.18,162.84,246.81,181.28,183.82,153.64,169.35,111.34,233.09,124.09,189.24,104.48,155.78,199.88,130.85,98.53,191.16,166.55,151.21,182.55,157.92,,23,979,39,25.66,
