Measurement Name :,20230510_Plate6_Meas-710,,Generated On :,"10/05/2023, 18:39:48",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000710      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 040
Ref LED current   : 075
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
10.05.23 18:25:13,2.28,170.95,200.52,160.12,228.31,188.93,155.83,202.8,145.53,221.93,143.43,222.6,151.57,133.3,191.81,150.97,133.6,210.33,125.36,195.35,210.66,211.97,142.83,189.57,199.55,,23,965,39,22.54,
10.05.23 18:25:28,2.53,170.64,199.23,159.2,228.99,187.66,155.22,201.82,144.63,221.6,142.53,222.94,150.66,132.71,190.53,149.45,132.12,210,125.07,194.06,210.33,211.64,142.23,188.61,199.23,,23,965,39,22.54,
10.05.23 18:25:43,2.78,168.46,197.93,157.06,228.31,186.7,153.4,201.17,144.33,220.6,141.63,222.6,148.85,131.82,189.25,147.64,130.35,209.01,123.9,193.1,210,210.33,141.03,187.34,198.26,,23,965,39,22.54,
10.05.23 18:25:58,3.03,168.46,196.64,156.14,227.3,186.38,152.18,201.17,144.03,219.93,140.43,222.6,148.85,131.82,188.61,146.74,130.05,208.36,123.31,192.13,209.34,209.67,140.14,187.02,198.58,,23,965,39,22.54,
10.05.23 18:26:13,3.28,167.53,195.67,154.31,227.3,185.11,151.57,200.2,142.83,220.26,138.94,221.6,147.04,130.64,187.66,145.23,128,207.7,123.02,191.81,209.01,209.67,138.94,185.74,197.61,,23,965,39,22.55,
10.05.23 18:26:28,3.53,166.6,195.67,153.09,227.3,183.84,150.36,200.2,141.33,219.6,138.94,220.93,146.43,129.76,186.7,144.03,127.7,207.05,122.15,191.17,209.01,208.68,138.05,184.79,197.29,,23,965,39,22.55,
10.05.23 18:26:43,3.78,165.67,193.42,152.49,227.64,183.52,148.85,198.9,141.63,218.6,137.16,220.6,145.23,128.88,185.11,142.83,125.94,206.06,120.98,189.89,208.36,207.7,137.45,184.16,195.99,,23,965,39,22.57,
10.05.23 18:26:58,4.03,165.05,193.42,150.66,226.96,182.25,148.55,198.26,140.43,218.93,136.86,221.27,144.03,128.58,183.84,141.93,124.48,205.41,120.69,188.29,208.03,207.37,136.86,183.2,195.35,,23,965,39,22.57,
10.05.23 18:27:13,4.28,164.74,192.13,150.06,225.95,181.3,147.34,197.93,140.43,218.27,136.26,220.93,143.73,128.29,183.52,140.73,124.19,205.08,120.4,187.97,207.7,206.39,137.16,182.57,195.35,,23,965,39,22.57,
10.05.23 18:27:28,4.53,163.2,191.49,149.15,225.95,180.04,146.43,197.61,139.54,218.6,135.08,220.93,142.83,127.41,182.25,139.54,123.02,204.43,119.53,187.34,208.03,206.06,135.97,181.62,194.71,,23,965,39,22.59,
10.05.23 18:27:43,4.78,162.58,190.53,147.94,226.29,179.41,145.83,195.99,138.94,217.6,134.78,220.26,141.93,126.53,181.3,138.64,121.56,203.45,118.95,186.06,207.7,205.08,135.67,180.67,193.74,,23,965,39,22.59,
10.05.23 18:27:58,5.03,161.66,189.57,146.74,225.95,178.47,145.23,195.99,138.35,217.6,133.89,220.26,141.33,125.94,180.04,137.75,120.69,202.47,118.66,186.06,207.7,204.43,135.08,180.36,192.78,,23,965,39,22.59,
10.05.23 18:28:13,5.28,161.04,187.97,145.23,225.62,178.15,144.03,195.67,137.45,217.27,133,219.26,139.54,125.36,179.41,136.56,119.82,201.82,117.79,185.11,206.72,204.1,134.78,179.41,192.45,,23,965,39,22.59,
10.05.23 18:28:28,5.53,159.81,187.34,144.63,224.95,175.95,143.43,195.03,137.45,216.94,132.41,219.93,139.84,124.19,177.84,135.37,118.37,201.17,116.92,183.84,206.39,202.8,134.48,178.15,191.49,,23,965,39,22.59,
10.05.23 18:28:43,5.78,159.2,187.02,143.73,225.28,174.7,141.63,194.71,137.16,215.94,131.82,219.6,139.24,123.02,177.52,134.78,117.5,200.52,116.35,183.84,206.72,203.13,133.89,177.84,192.13,,23,965,39,22.59,
10.05.23 18:28:58,6.03,158.89,185.74,142.83,224.61,174.38,141.63,193.1,135.67,216.61,130.64,218.93,137.75,122.15,176.26,133,116.63,199.55,115.77,182.25,206.39,202.47,133.6,177.21,191.49,,23,965,39,22.61,
10.05.23 18:29:13,6.28,157.67,184.47,141.63,224.61,173.76,141.03,192.78,135.97,215.61,130.35,218.6,137.45,121.56,175.95,132.41,115.48,198.9,115.48,181.94,206.06,201.82,133.6,176.26,190.21,,23,965,39,22.61,
10.05.23 18:29:28,6.53,157.36,183.84,140.73,224.61,171.57,139.54,191.49,135.37,215.28,129.47,218.93,136.26,120.69,174.07,131.53,114.9,198.26,114.9,180.67,206.06,200.85,132.41,175.64,189.57,,23,965,39,22.61,
10.05.23 18:29:43,6.78,156.75,183.2,140.14,224.61,170.64,138.94,191.81,135.08,214.95,129.76,218.6,135.67,120.11,173.44,130.35,114.04,197.61,114.04,180.36,206.06,200.85,132.71,175.32,189.25,,23,965,39,22.61,
10.05.23 18:29:58,7.03,155.83,181.94,138.35,223.94,169.7,138.35,190.53,134.48,214.29,128.29,217.93,135.08,118.66,172.19,129.47,112.31,196.32,113.17,178.78,205.08,199.88,132.12,173.76,188.61,,23,965,39,22.61,
10.05.23 18:30:13,7.28,155.53,180.99,138.05,224.61,170.01,137.45,190.53,133.89,214.62,128,217.93,134.19,118.66,171.26,128.58,111.74,195.99,112.89,178.47,205.41,199.88,132.41,173.13,187.97,,23,965,39,22.61,
10.05.23 18:30:28,7.53,154.92,180.04,137.16,224.28,168.15,137.45,189.57,133,214.29,127.41,217.6,133.3,117.5,170.64,127.12,110.88,195.35,112.6,177.52,205.08,199.88,131.82,172.51,187.66,,23,965,39,22.64,
10.05.23 18:30:43,7.78,154.31,178.78,136.56,224.28,166.91,137.16,188.93,133.6,213.96,126.82,216.94,133,116.35,169.7,126.82,110.02,194.06,111.74,176.58,205.08,198.26,131.23,171.88,186.38,,23,965,39,22.63,
10.05.23 18:30:58,8.03,153.7,178.15,135.67,223.27,166.91,135.97,189.25,133,213.29,126.24,217.6,132.41,116.35,168.77,125.65,109.16,193.74,111.45,176.26,204.43,197.61,130.64,171.57,185.74,,23,965,39,22.61,
10.05.23 18:31:13,8.28,152.49,177.84,134.78,222.94,165.36,134.78,187.34,132.41,212.63,125.65,216.27,131.53,115.19,168.15,124.48,108.3,193.1,110.3,175.01,204.43,197.29,130.64,170.32,185.43,,23,965,39,22.64,
10.05.23 18:31:28,8.53,152.18,176.58,134.48,223.27,164.74,135.08,186.7,131.82,212.63,125.07,217.27,131.23,114.9,167.53,123.31,108.02,192.13,110.3,174.38,204.1,196.96,130.35,169.7,185.11,,23,965,39,22.64,
10.05.23 18:31:43,8.78,151.88,176.58,133,223.61,164.12,134.48,187.02,131.82,212.3,124.77,216.94,131.23,114.61,166.6,122.73,107.16,191.49,109.45,173.76,203.78,196.64,130.05,168.77,185.11,,23,965,39,22.66,
10.05.23 18:31:58,9.03,151.27,175.32,132.41,223.61,162.58,133.89,186.06,131.23,212.63,124.19,216.94,130.35,113.17,165.67,122.44,106.02,190.85,108.87,172.82,203.78,195.99,130.05,168.77,184.16,,23,965,39,22.64,
10.05.23 18:32:13,9.28,150.97,174.7,131.82,223.27,161.66,133.89,186.06,130.94,212.63,123.9,217.6,129.76,113.75,165.36,121.86,106.02,190.53,109.16,172.19,203.78,195.35,129.47,168.15,183.52,,23,965,39,22.66,
10.05.23 18:32:28,9.53,149.15,173.44,130.64,222.27,160.43,132.12,185.11,129.76,211.64,122.73,217.27,128.88,112.6,163.2,119.82,104.6,189.57,107.73,170.95,203.13,194.71,128.88,166.6,182.25,,23,965,39,22.66,
10.05.23 18:32:43,9.78,149.15,173.13,130.35,222.94,160.73,132.41,185.11,129.47,211.32,123.02,217.6,129.76,111.74,163.51,120.11,104.6,189.57,107.73,170.95,203.13,194.38,128.88,166.6,182.57,,23,965,39,22.68,
10.05.23 18:32:58,10.03,148.55,172.82,128.88,222.94,159.2,131.23,184.16,130.35,210.99,122.44,217.27,128.58,111.45,162.58,119.24,103.46,188.61,107.16,169.7,203.45,193.42,128.29,165.98,182.25,,23,965,39,22.66,
10.05.23 18:33:13,10.28,147.34,171.88,128.88,222.27,158.28,130.64,183.84,129.17,210.66,121.56,217.27,127.7,110.02,161.35,117.79,103.18,187.34,106.3,169.08,203.13,193.1,127.7,164.43,181.3,,23,965,39,22.66,
10.05.23 18:33:28,10.53,146.74,170.64,127.7,222.6,157.36,130.05,181.94,128,210,121.27,216.61,126.82,109.73,160.73,116.63,102.33,186.7,105.74,167.53,202.47,192.45,127.41,163.81,180.36,,23,965,39,22.68,
10.05.23 18:33:43,10.78,146.43,170.64,126.82,221.6,156.45,129.17,181.94,128.58,209.67,120.98,215.94,125.94,108.87,160.12,116.35,101.76,185.43,104.88,166.91,202.47,191.81,125.94,163.51,179.73,,23,965,39,22.66,
10.05.23 18:33:58,11.03,144.93,169.39,126.53,221.93,155.22,129.17,180.99,128.29,210,120.4,216.61,125.94,108.3,158.89,115.48,101.2,185.43,104.88,166.91,202.15,191.17,126.24,162.89,179.1,,23,965,39,22.68,
10.05.23 18:34:13,11.28,144.03,168.77,125.94,221.6,154.62,128.29,181.94,127.41,209.01,120.11,215.94,125.36,107.16,158.59,114.61,100.63,184.79,104.03,165.67,201.82,191.49,125.94,161.96,178.47,,23,965,39,22.68,
10.05.23 18:34:28,11.53,143.13,168.46,125.36,220.6,154.01,128.58,180.36,127.41,209.01,119.82,214.95,124.77,107.16,157.67,113.75,100.06,183.84,103.46,165.05,201.5,190.21,125.07,161.35,177.21,,23,965,39,22.66,
10.05.23 18:34:43,11.78,142.23,167.53,123.31,220.26,152.79,127.41,179.41,126.53,208.03,118.95,214.95,123.6,105.45,156.45,112.89,98.65,182.89,102.89,164.12,200.85,189.89,124.19,159.81,176.89,,23,965,39,22.66,
10.05.23 18:34:58,12.03,141.33,167.53,123.02,220.6,151.57,127.41,179.73,125.94,207.7,118.08,214.62,122.73,104.31,155.83,112.03,97.81,181.94,102.04,163.2,200.52,189.89,123.9,159.51,176.26,,23,965,39,22.64,
10.05.23 18:35:13,12.28,141.33,166.29,121.86,219.26,149.76,125.65,178.47,125.94,207.05,117.5,214.62,122.44,104.03,154.31,111.16,97.81,180.99,101.48,161.66,200.2,188.93,122.73,158.28,175.01,,23,965,39,22.64,
10.05.23 18:35:28,12.53,140.14,164.74,120.69,219.26,149.76,124.77,177.84,125.36,206.72,117.21,213.96,121.56,102.61,153.4,110.3,96.4,180.04,100.35,161.35,200.2,187.97,122.44,156.75,174.07,,23,965,39,22.63,
10.05.23 18:35:43,12.78,139.54,163.51,120.69,218.93,149.45,125.07,177.52,124.77,206.39,116.35,213.96,120.98,102.89,153.09,109.73,96.12,179.73,100.06,160.12,199.55,187.97,121.86,156.75,173.76,,23,965,39,22.61,
10.05.23 18:35:58,13.03,138.64,163.81,119.53,218.93,147.94,123.9,176.58,124.48,205.74,116.63,213.96,120.69,101.76,152.49,108.87,95.56,178.47,99.5,159.51,199.23,187.02,121.56,155.83,172.82,,23,965,39,22.59,
10.05.23 18:36:13,13.28,137.45,162.27,119.53,217.93,146.74,123.9,175.64,123.31,205.41,115.19,212.3,119.82,100.35,150.97,107.45,94.72,178.15,98.65,158.59,197.93,186.7,121.27,154.62,172.19,,23,965,39,22.59,
10.05.23 18:36:28,13.53,136.26,161.35,118.08,216.94,146.43,122.73,174.7,122.73,204.43,114.61,212.3,119.24,99.78,150.06,106.59,93.88,177.21,97.53,157.36,198.26,186.06,120.4,153.4,170.95,,23,965,39,22.57,
10.05.23 18:36:43,13.78,136.56,160.73,118.08,217.6,144.93,122.73,174.38,122.15,204.43,114.33,211.32,118.08,99.22,149.76,105.45,93.88,176.58,97.53,156.45,197.93,185.74,119.82,152.79,170.64,,23,965,39,22.57,
10.05.23 18:36:58,14.03,135.67,159.51,116.92,216.94,143.73,122.15,173.76,122.73,203.78,113.75,211.32,118.08,99.22,148.24,104.88,93.04,175.95,96.97,156.14,197.61,185.11,119.53,151.88,169.7,,23,965,39,22.54,
10.05.23 18:37:13,14.28,134.19,159.2,116.35,216.94,142.83,121.56,173.44,121.86,203.78,114.04,210.66,117.5,97.81,147.64,104.31,91.92,175.01,96.4,155.22,197.29,184.79,119.24,151.27,169.08,,23,965,39,22.52,
10.05.23 18:37:28,14.53,134.48,158.59,114.9,216.27,141.93,120.69,172.51,121.27,202.47,113.17,210.66,116.63,96.97,147.04,102.89,91.64,174.38,95,154.31,196.64,184.16,118.37,149.45,168.15,,23,965,39,22.5,
10.05.23 18:37:43,14.78,133,157.06,114.33,215.94,141.63,119.82,171.57,120.69,202.8,112.6,210,116.35,97.25,145.83,102.33,91.08,173.76,94.72,153.09,196.32,183.52,118.08,148.85,167.84,,23,965,39,22.48,
10.05.23 18:37:58,15.03,132.12,156.75,114.04,215.94,140.14,119.24,171.26,120.11,202.15,111.45,210.33,115.48,96.4,145.23,101.48,90.25,172.82,93.88,151.88,195.67,183.52,118.08,148.24,167.53,,23,965,39,22.46,
10.05.23 18:38:13,15.28,132.12,155.83,113.75,215.61,140.14,119.53,170.64,119.82,202.15,111.74,209.34,114.9,96.12,144.63,101.2,89.97,172.19,93.88,151.57,195.99,182.57,118.37,147.94,166.91,,23,965,39,22.43,
10.05.23 18:38:28,15.53,131.23,154.62,113.17,214.62,138.64,118.95,169.7,119.82,201.5,111.16,209.67,114.61,94.72,143.73,100.06,89.69,171.57,93.6,150.66,195.03,182.57,118.95,147.04,166.6,,23,965,39,22.43,
10.05.23 18:38:43,15.78,130.64,154.62,112.03,215.28,138.94,118.08,170.01,119.82,201.5,110.59,209.67,114.33,94.72,143.13,99.22,89.41,171.26,92.48,150.06,195.67,181.94,119.82,146.13,165.98,,23,965,39,22.41,
10.05.23 18:38:58,16.03,130.05,153.7,111.45,214.95,137.16,118.08,169.08,118.95,201.17,110.02,208.68,113.75,94.16,141.63,98.37,88.86,170.01,91.92,149.15,194.71,181.62,119.53,145.23,165.36,,23,965,39,22.39,
10.05.23 18:39:13,16.28,129.47,153.7,110.88,214.95,136.56,117.21,168.15,118.37,200.85,110.02,208.36,113.17,93.04,141.33,96.97,88.58,169.7,91.36,148.24,194.38,180.99,119.53,144.63,164.74,,23,965,39,22.38,
