"","Date","Run","Sample.ID","Chamber.ID","Intercept","umol.L.min"
"37","20230505_Plate2","Plate2","BLNK-4","D3",240.964548387097,-0.686903225806463
"38","20230505_Plate2","Plate2","Plate2-SpatA4","A4",145.939366366366,-1.65517117117117
"39","20230505_Plate2","Plate2","Plate2-SpatB4","B4",214.200534759358,-1.89324866310161
"40","20230505_Plate2","Plate2","Plate2-SpatC4","C4",136.540695121951,-2.47873170731707
"41","20230505_Plate2","Plate2","Plate2-SpatD4","D4",188.193882832777,-2.49266295884315
"42","20230505_Plate2","Plate2","Plate2-SpatA5","A5",214.844291360813,-1.84950875211744
"43","20230505_Plate2","Plate2","Plate2-SpatB5","B5",173.661103132162,-3.22309549274254
"44","20230505_Plate2","Plate2","Plate2-SpatC5","C5",134.689295889296,-2.72744810744811
"45","20230505_Plate2","Plate2","Plate2-SpatD5","D5",205.326567944251,-1.19752613240419
"46","20230505_Plate2","Plate2","Plate2-SpatA6","A6",176.007324046921,-0.836862170087971
"47","20230505_Plate2","Plate2","Plate2-SpatB6","B6",189.592863916548,-2.85947842579422
"48","20230505_Plate2","Plate2","Plate2-SpatC6","C6",219.758313819893,-2.81375642849327
"49","20230505_Plate2","Plate2","Plate2-SpatD6","D6",193.374192665572,-2.81442802408319
"50","20230510_Plate3","Plate3","Plate3-SpatA1","A1",201.704705527031,-1.6971790999698
"51","20230510_Plate3","Plate3","Plate3-SpatA2","B1",198.046912217194,-1.15443981900452
"52","20230510_Plate3","Plate3","Plate3-SpatA3","C1",147.580463709677,-1.78943548387097
"53","20230510_Plate3","Plate3","Plate3-SpatA4","D1",230.359833373349,-0.30298967587035
"54","20230510_Plate3","Plate3","BLK-5","A2",154.939092436975,-1.47031932773109
"55","20230510_Plate3","Plate3","Plate3-SpatA6","B2",201.534823878383,-1.59563959955505
"56","20230510_Plate3","Plate3","Plate3-SpatB1","C2",152.625731092437,-2.04524369747899
"57","20230510_Plate3","Plate3","Plate3-SpatB2","D2",197.183214929215,-2.89291119691119
"58","20230510_Plate3","Plate3","Plate3-SpatB3","A3",156.491333765497,-2.6449688031764
"59","20230510_Plate3","Plate3","Plate3-SpatB4","B3",222.418072155412,-1.27254270736972
"60","20230510_Plate3","Plate3","Plate3-SpatB5","C3",223.65785158371,-0.179739366515833
"61","20230510_Plate3","Plate3","Plate3-SpatB6","D3",150.931201680672,-2.44036974789916
"62","20230510_Plate3","Plate3","Plate3-SpatC1","A4",138.791162790698,-2.22896405919661
"63","20230510_Plate3","Plate3","Plate3-SpatC2","B4",151.661010752688,-1.92613125695217
"64","20230510_Plate3","Plate3","BLK-6","C4",155.100175010175,-2.04644688644689
"65","20230510_Plate3","Plate3","Plate3-SpatC4","D4",114.439193162393,-1.62382222222222
"66","20230510_Plate3","Plate3","Plate3-SpatC5","A5",221.936056411926,-0.346222318714719
"67","20230510_Plate3","Plate3","Plate3-SpatC6","B5",111.844939516129,-1.72946480938416
"68","20230510_Plate3","Plate3","Plate3-SpatD1","C5",198.861704440333,-2.42068917668825
"69","20230510_Plate3","Plate3","Plate3-SpatD2","D5",188.905769289534,-4.57423376623376
"70","20230510_Plate3","Plate3","Plate3-SpatD3","A6",205.560026414821,-2.29178679982632
"71","20230510_Plate3","Plate3","Plate3-SpatD4","B6",112.843630769231,-1.36332307692308
"72","20230510_Plate3","Plate3","Plate3-SpatD5","C6",129.149630541872,-1.95773399014778
"73","20230510_Plate3","Plate3","Plate3-SpatD6","D6",204.879141043878,-4.22398949556844
"74","20230510_Plate4","Plate4","Plate4-SpatA1","A1",166.342754756871,-0.502683579985904
"75","20230510_Plate4","Plate4","Plate4-SpatA2","B1",159.197042412514,-1.14196097403645
"76","20230510_Plate4","Plate4","Plate4-SpatA3","C1",183.686665257223,-3.47061592670895
"77","20230510_Plate4","Plate4","Plate4-SpatA4","D1",201.432713219148,-2.92487483530962
"78","20230510_Plate4","Plate4","Plate4-SpatA5","A2",188.184701982228,-0.219315105946686
"79","20230510_Plate4","Plate4","Plate4-SpatA6","B2",199.975081669691,-0.222488981073368
"80","20230510_Plate4","Plate4","Plate4-SpatB1","C2",141.319347972882,-2.41347702779353
"81","20230510_Plate4","Plate4","BLK-7","D2",171.685540540541,-2.84105263157895
"82","20230510_Plate4","Plate4","Plate4-SpatB3","A3",87.7374554367202,-2.52625668449198
"83","20230510_Plate4","Plate4","Plate4-SpatB4","B3",169.727573313783,-3.12275659824047
"84","20230510_Plate4","Plate4","Plate4-SpatB5","C3",195.033903903904,-0.167315315315318
"85","20230510_Plate4","Plate4","Plate4-SpatB6","D3",188.803560150376,-1.99403007518797
"86","20230510_Plate4","Plate4","Plate4-SpatC1","A4",165.319205242197,-2.53613892747985
"87","20230510_Plate4","Plate4","Plate4-SpatC2","B4",157.917164973391,-3.48016126431221
"88","20230510_Plate4","Plate4","BLK-8","C4",170.896820074005,-3.0608973172988
"89","20230510_Plate4","Plate4","Plate4-SpatC4","D4",175.18371040724,-2.03493212669683
"90","20230510_Plate4","Plate4","Plate4-SpatC5","A5",110.28452294197,-1.55293117408907
"91","20230510_Plate4","Plate4","Plate4-SpatC6","B5",186.475069686411,-1.3094425087108
"92","20230510_Plate4","Plate4","Plate4-SpatD1","C5",195.497476517841,-1.43248067286142
"93","20230510_Plate4","Plate4","Plate4-SpatD2","D5",190.012312886584,-3.90454906409529
"94","20230510_Plate4","Plate4","Plate4-SpatD3","A6",167.721700483092,-1.81278524374177
"95","20230510_Plate4","Plate4","Plate4-SpatD4","B6",173.873066036862,-2.87952653514865
"96","20230510_Plate4","Plate4","Plate4-SpatD5","C6",187.381580693816,-1.56354751131221
"97","20230510_Plate4","Plate4","Plate4-SpatD6","D6",171.18253554412,-1.63650390699447
"98","20230510_Plate5","Plate5","Plate5-SpatA1","A1",62.4669373219372,-0.423076923076919
"99","20230510_Plate5","Plate5","Plate5-SpatA2","B1",114.516744720429,-2.14521063573696
"100","20230510_Plate5","Plate5","Plate5-SpatA3","C1",193.007471033868,-0.248328877005343
"101","20230510_Plate5","Plate5","Plate5-SpatA4","D1",177.760999107939,-2.47980436186902
"102","20230510_Plate5","Plate5","Plate5-SpatA5","A2",111.651644358644,-1.08014929214929
"103","20230510_Plate5","Plate5","Plate5-SpatA6","B2",93.5832124582869,-3.09108787541713
"104","20230510_Plate5","Plate5","Plate5-SpatB1","C2",142.299078079179,-2.7816202346041
"105","20230510_Plate5","Plate5","Plate5-SpatB2","D2",177.11822386679,-1.72319457292631
"106","20230510_Plate5","Plate5","Plate5-SpatB3","A3",163.577764876633,-1.09620592504056
"107","20230510_Plate5","Plate5","Plate5-SpatB4","B3",105.056829640947,-3.77864018334607
"108","20230510_Plate5","Plate5","Plate5-SpatB5","C3",136.066571524966,-6.33908502024292
"109","20230510_Plate5","Plate5","Plate5-SpatB6","D3",184.588730690362,-3.66435269993165
"110","20230510_Plate5","Plate5","BLK-9","A4",138.89039516129,-1.51124193548387
"111","20230510_Plate5","Plate5","Plate5-SpatC2","B4",167.854937683285,-0.836994134897364
"112","20230510_Plate5","Plate5","Plate5-SpatC3","C4",162.816261324042,-2.39267595818815
"113","20230510_Plate5","Plate5","Plate5-SpatC4","D4",100.319411290323,-1.43820967741935
"114","20230510_Plate5","Plate5","Plate5-SpatC5","A5",71.6112717086835,-2.30086274509804
"115","20230510_Plate5","Plate5","Plate5-SpatC6","B5",156.700414056532,-1.06206875477463
"116","20230510_Plate5","Plate5","Plate5-SpatD1","C5",174.895280296022,-3.64789639222941
"117","20230510_Plate5","Plate5","Plate5-SpatD2","D5",154.342825983879,-2.67097202465624
"118","20230510_Plate5","Plate5","Plate5-SpatD3","A6",174.119737373737,-3.46715151515151
"119","20230510_Plate5","Plate5","Plate5-SpatD4","B6",104.529051689052,-3.65167277167277
"120","20230510_Plate5","Plate5","Plate5-SpatD5","C6",181.084219512195,-1.77450281425892
"121","20230510_Plate5","Plate5","BLK-10","D6",191.343517429938,-0.0842980177717021
"122","20230510_Plate6","Plate6","Plate6-SpatA1","A1",176.171548127074,-2.8291417733523
"123","20230510_Plate6","Plate6","Plate6-SpatA2","B1",205.16308973173,-3.24267160037003
"124","20230510_Plate6","Plate6","Plate6-SpatA3","C1",160.871524926686,-3.15120234604105
"125","20230510_Plate6","Plate6","Plate6-SpatA4","D1",230.21809486166,-0.826592885375496
"126","20230510_Plate6","Plate6","Plate6-SpatA5","A2",196.852672933042,-3.77195365043352
"127","20230510_Plate6","Plate6","Plate6-SpatA6","B2",154.634930517562,-2.32504212714739
"128","20230510_Plate6","Plate6","Plate6-SpatB1","C2",207.984720628209,-2.40732709151314
"129","20230510_Plate6","Plate6","Plate6-SpatB2","D2",147.261093325279,-1.77862277257626
"130","20230510_Plate6","Plate6","Plate6-SpatB3","A3",228.438144499179,-1.73730706075533
"131","20230510_Plate6","Plate6","Plate6-SpatB4","B3",142.93575891182,-2.06250656660413
"132","20230510_Plate6","Plate6","Plate6-SpatB5","C3",224.707826965305,-0.880822134387354
"133","20230510_Plate6","Plate6","Plate6-SpatB6","D3",153.424714285714,-2.53297959183673
"134","20230510_Plate6","Plate6","Plate6-SpatC1","A4",140.371396854764,-2.97052112241751
"135","20230510_Plate6","Plate6","Plate6-SpatC2","B4",196.787300944669,-3.44255060728745
"136","20230510_Plate6","Plate6","Plate6-SpatC3","C4",154.383855072464,-3.53344927536232
"137","20230510_Plate6","Plate6","Plate6-SpatC4","D4",130.245374931582,-2.66106185002736
"138","20230510_Plate6","Plate6","Plate6-SpatC5","A5",217.059510939511,-2.89411068211068
"139","20230510_Plate6","Plate6","Plate6-SpatC6","B5",130.474702467344,-2.39188517980971
"140","20230510_Plate6","Plate6","BLK-11","C5",202.440520883728,-3.31213030156427
"141","20230510_Plate6","Plate6","Plate6-SpatD2","D5",211.924414049677,-0.907324652587815
"142","20230510_Plate6","Plate6","Plate6-SpatD3","A6",215.396430252101,-2.15950444177671
"143","20230510_Plate6","Plate6","Plate6-SpatD4","B6",142.534375254375,-1.43697191697192
"144","20230510_Plate6","Plate6","BLK-12","C6",195.630098674067,-3.04921615787851
"145","20230510_Plate6","Plate6","Plate6-SpatD6","D6",204.955681818182,-2.32977272727272
