Date,Plate.ID,Sample.ID,Chamber.ID,SDR,Spat.Resp.ID,TemperatureCat,Type,Salinity,Run,Volume,Org.Number,Notes
20230505,Plate1,Plate1-SpatA5,A5,SDR-710,SDR-710-A5,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatB5,B5,SDR-710,SDR-710-B5,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatC5,C5,SDR-710,SDR-710-C5,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatD5,D5,SDR-710,SDR-710-D5,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatA6,A6,SDR-710,SDR-710-A6,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatB6,B6,SDR-710,SDR-710-B6,23,Sample,39,Plate1,0.00008,1,
20230505,Plate1,BLNK-2,C6,SDR-710,SDR-710-C6,23,Blank,39,Plate1,0.00008,1,
20230505,Plate1,Plate1-SpatD6,D6,SDR-710,SDR-710-D6,23,Sample,39,Plate1,0.00008,1,
20230505,Plate2,Plate2-SpatA1,A1,SDR-641,SDR-641-A1,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatB1,B1,SDR-641,SDR-641-B1,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatC1,C1,SDR-641,SDR-641-C1,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatD1,D1,SDR-641,SDR-641-D1,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatA2,A2,SDR-641,SDR-641-A2,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,BLNK-3,B2,SDR-641,SDR-641-B2,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatC2,C2,SDR-641,SDR-641-C2,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatD2,D2,SDR-641,SDR-641-D2,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatA3,A3,SDR-641,SDR-641-A3,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatB3,B3,SDR-641,SDR-641-B3,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatC3,C3,SDR-641,SDR-641-C3,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,BLNK-4,D3,SDR-641,SDR-641-D3,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatA4,A4,SDR-641,SDR-641-A4,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatB4,B4,SDR-641,SDR-641-B4,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatC4,C4,SDR-641,SDR-641-C4,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatD4,D4,SDR-641,SDR-641-D4,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatA5,A5,SDR-641,SDR-641-A5,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatB5,B5,SDR-641,SDR-641-B5,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatC5,C5,SDR-641,SDR-641-C5,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatD5,D5,SDR-641,SDR-641-D5,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatA6,A6,SDR-641,SDR-641-A6,23,Sample,39,Plate2,0.00008,1,Pale/ bleach
20230505,Plate2,Plate2-SpatB6,B6,SDR-641,SDR-641-B6,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatC6,C6,SDR-641,SDR-641-C6,23,Sample,39,Plate2,0.00008,1,
20230505,Plate2,Plate2-SpatD6,D6,SDR-641,SDR-641-D6,23,Sample,39,Plate2,0.00008,1,
20230510,Plate3,Plate3-SpatA1,A1,SDR-710,SDR-710-A1,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatB1,B1,SDR-710,SDR-710-B1,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatC1,C1,SDR-710,SDR-710-C1,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatD1,D1,SDR-710,SDR-710-D1,23,Blank,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatA2,A2,SDR-710,SDR-710-A2,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatB2,B2,SDR-710,SDR-710-B2,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatC2,C2,SDR-710,SDR-710-C2,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatD2,D2,SDR-710,SDR-710-D2,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatA3,A3,SDR-710,SDR-710-A3,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatB3,B3,SDR-710,SDR-710-B3,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatC3,C3,SDR-710,SDR-710-C3,23,Blank,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatD3,D3,SDR-710,SDR-710-D3,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatA4,A4,SDR-710,SDR-710-A4,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatB4,B4,SDR-710,SDR-710-B4,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatC4,C4,SDR-710,SDR-710-C4,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatD4,D4,SDR-710,SDR-710-D4,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatA5,A5,SDR-710,SDR-710-A5,23,Blank,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatB5,B5,SDR-710,SDR-710-B5,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatC5,C5,SDR-710,SDR-710-C5,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatD5,D5,SDR-710,SDR-710-D5,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatA6,A6,SDR-710,SDR-710-A6,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatB6,B6,SDR-710,SDR-710-B6,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatC6,C6,SDR-710,SDR-710-C6,23,Sample,39,Plate3,0.00008,1,
20230510,Plate3,Plate3-SpatD6,D6,SDR-710,SDR-710-D6,23,Sample,39,Plate3,0.00008,1,
20230510,Plate4,Plate4-SpatA1,A1,SDR-710,SDR-710-A1,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatB1,B1,SDR-710,SDR-710-B1,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatC1,C1,SDR-710,SDR-710-C1,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatD1,D1,SDR-710,SDR-710-D1,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatA2,A2,SDR-710,SDR-710-A2,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatB2,B2,SDR-710,SDR-710-B2,23,Blank,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatC2,C2,SDR-710,SDR-710-C2,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatD2,D2,SDR-710,SDR-710-D2,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatA3,A3,SDR-710,SDR-710-A3,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatB3,B3,SDR-710,SDR-710-B3,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatC3,C3,SDR-710,SDR-710-C3,23,Blank,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatD3,D3,SDR-710,SDR-710-D3,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatA4,A4,SDR-710,SDR-710-A4,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatB4,B4,SDR-710,SDR-710-B4,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatC4,C4,SDR-710,SDR-710-C4,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatD4,D4,SDR-710,SDR-710-D4,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatA5,A5,SDR-710,SDR-710-A5,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatB5,B5,SDR-710,SDR-710-B5,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatC5,C5,SDR-710,SDR-710-C5,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatD5,D5,SDR-710,SDR-710-D5,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatA6,A6,SDR-710,SDR-710-A6,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatB6,B6,SDR-710,SDR-710-B6,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatC6,C6,SDR-710,SDR-710-C6,23,Sample,39,Plate4,0.00008,1,
20230510,Plate4,Plate4-SpatD6,D6,SDR-710,SDR-710-D6,23,Sample,39,Plate4,0.00008,1,
20230510,Plate5,Plate5-SpatA1,A1,SDR-710,SDR-710-A1,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatB1,B1,SDR-710,SDR-710-B1,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatC1,C1,SDR-710,SDR-710-C1,23,Blank,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatD1,D1,SDR-710,SDR-710-D1,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatA2,A2,SDR-710,SDR-710-A2,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatB2,B2,SDR-710,SDR-710-B2,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatC2,C2,SDR-710,SDR-710-C2,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatD2,D2,SDR-710,SDR-710-D2,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatA3,A3,SDR-710,SDR-710-A3,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatB3,B3,SDR-710,SDR-710-B3,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatC3,C3,SDR-710,SDR-710-C3,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatD3,D3,SDR-710,SDR-710-D3,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatA4,A4,SDR-710,SDR-710-A4,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatB4,B4,SDR-710,SDR-710-B4,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatC4,C4,SDR-710,SDR-710-C4,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatD4,D4,SDR-710,SDR-710-D4,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatA5,A5,SDR-710,SDR-710-A5,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatB5,B5,SDR-710,SDR-710-B5,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatC5,C5,SDR-710,SDR-710-C5,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatD5,D5,SDR-710,SDR-710-D5,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatA6,A6,SDR-710,SDR-710-A6,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatB6,B6,SDR-710,SDR-710-B6,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatC6,C6,SDR-710,SDR-710-C6,23,Sample,39,Plate5,0.00008,1,
20230510,Plate5,Plate5-SpatD6,D6,SDR-710,SDR-710-D6,23,Blank,39,Plate5,0.00008,1,
20230510,Plate6,Plate6-SpatA1,A1,SDR-710,SDR-710-A1,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatB1,B1,SDR-710,SDR-710-B1,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatC1,C1,SDR-710,SDR-710-C1,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatD1,D1,SDR-710,SDR-710-D1,23,Blank,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatA2,A2,SDR-710,SDR-710-A2,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatB2,B2,SDR-710,SDR-710-B2,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatC2,C2,SDR-710,SDR-710-C2,23,Algae,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatD2,D2,SDR-710,SDR-710-D2,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatA3,A3,SDR-710,SDR-710-A3,23,Algae,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatB3,B3,SDR-710,SDR-710-B3,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatC3,C3,SDR-710,SDR-710-C3,23,Algae,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatD3,D3,SDR-710,SDR-710-D3,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatA4,A4,SDR-710,SDR-710-A4,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatB4,B4,SDR-710,SDR-710-B4,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatC4,C4,SDR-710,SDR-710-C4,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatD4,D4,SDR-710,SDR-710-D4,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatA5,A5,SDR-710,SDR-710-A5,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatB5,B5,SDR-710,SDR-710-B5,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatC5,C5,SDR-710,SDR-710-C5,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatD5,D5,SDR-710,SDR-710-D5,23,Blank,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatA6,A6,SDR-710,SDR-710-A6,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatB6,B6,SDR-710,SDR-710-B6,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatC6,C6,SDR-710,SDR-710-C6,23,Sample,39,Plate6,0.00008,1,
20230510,Plate6,Plate6-SpatD6,D6,SDR-710,SDR-710-D6,23,Sample,39,Plate6,0.00008,1,
